PlayerName,Runs,BallsFaced,Sixes,Matches_Batting,Fours,StrikeRate,Wickets,Economy,Overs,Matches_Bowling,PerformanceScore
AM Salvi,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,25.0,7.0,175.0
AN Ahmed,36.0,26.0,1.0,6.0,4.0,138.46153846153845,12.0,8.686046511627907,57.333333333333336,17.0,301.8
AN Ghosh,7.0,8.0,0.0,2.0,1.0,87.5,0.0,0.0,0.0,0.0,0.35000000000000003
AP Dole,34.0,22.0,1.0,2.0,3.0,154.54545454545453,5.0,10.181818181818182,11.0,3.0,126.7
AP Majumdar,87.0,76.0,2.0,4.0,7.0,114.4736842105263,0.0,0.0,0.0,0.0,4.3500000000000005
AP Tare,339.0,273.0,11.0,27.0,40.0,124.17582417582418,0.0,0.0,0.0,0.0,16.95
AR Bawne,12.0,12.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.6000000000000001
AR Patel,1653.0,1263.0,79.0,112.0,107.0,130.87885985748218,123.0,7.273429951690821,517.5,148.0,3157.65
AS Joseph,27.0,32.0,0.0,5.0,3.0,84.375,21.0,9.55299539170507,72.33333333333333,22.0,526.35
AS Rajpoot,26.0,41.0,1.0,7.0,2.0,63.41463414634146,24.0,9.203773584905662,88.33333333333333,29.0,601.3
AS Raut,194.0,167.0,7.0,16.0,13.0,116.1676646706587,0.0,8.8,5.0,5.0,9.700000000000001
AS Roy,26.0,24.0,0.0,6.0,3.0,108.33333333333333,5.0,8.426470588235293,22.666666666666668,9.0,126.3
AS Yadav,49.0,39.0,2.0,6.0,5.0,125.64102564102564,0.0,0.0,0.0,0.0,2.45
AT Carey,32.0,29.0,1.0,3.0,0.0,110.34482758620689,0.0,0.0,0.0,0.0,1.6
AT Rayudu,4348.0,3409.0,173.0,185.0,359.0,127.54473452625403,0.0,0.0,0.0,0.0,217.4
AU Rashid,22.0,16.0,1.0,2.0,2.0,137.5,2.0,9.1,10.0,3.0,51.1
AUK Pathan,39.0,23.0,2.0,7.0,5.0,169.56521739130434,0.0,9.692307692307692,6.5,3.0,1.9500000000000002
Abdul Basith,1.0,1.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.05
Abdul Samad,579.0,397.0,36.0,39.0,37.0,145.84382871536522,2.0,12.555555555555555,9.0,5.0,78.95
Abdur Razzak,0.0,2.0,0.0,1.0,0.0,0.0,0.0,14.5,2.0,1.0,0.0
Abhishek Sharma,1377.0,887.0,73.0,61.0,128.0,155.24239007891768,11.0,8.644444444444444,45.0,26.0,343.85
Abishek Porel,360.0,236.0,15.0,16.0,37.0,152.54237288135593,0.0,0.0,0.0,0.0,18.0
Akash Deep,19.0,12.0,1.0,3.0,2.0,158.33333333333331,7.0,11.670731707317074,27.333333333333332,8.0,175.95
Akash Madhwal,4.0,5.0,0.0,1.0,0.0,80.0,20.0,9.709923664122138,43.666666666666664,13.0,500.2
Akash Singh,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.869565217391305,23.0,7.0,125.0
Aman Hakim Khan,115.0,104.0,6.0,10.0,8.0,110.57692307692308,0.0,13.0,1.0,1.0,5.75
Anand Rajan,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.093959731543624,24.833333333333332,8.0,200.0
Anirudh Singh,63.0,66.0,1.0,4.0,6.0,95.45454545454545,0.0,0.0,0.0,0.0,3.1500000000000004
Ankit Sharma,87.0,67.0,4.0,10.0,7.0,129.8507462686567,12.0,7.3569482288828345,61.166666666666664,21.0,304.35
Ankit Soni,7.0,9.0,1.0,3.0,0.0,77.77777777777779,2.0,7.9266055045871555,18.166666666666668,6.0,50.35
Anmolpreet Singh,139.0,115.0,3.0,9.0,19.0,120.8695652173913,0.0,0.0,0.0,0.0,6.95
Anuj Rawat,318.0,267.0,14.0,21.0,26.0,119.10112359550563,0.0,0.0,0.0,0.0,15.9
Anureet Singh,36.0,47.0,1.0,8.0,2.0,76.59574468085107,18.0,9.072815533980583,68.66666666666667,22.0,451.8
Arjun Tendulkar,13.0,9.0,1.0,1.0,0.0,144.44444444444443,3.0,9.36986301369863,12.166666666666666,5.0,75.65
Arshad Khan,96.0,65.0,6.0,6.0,5.0,147.6923076923077,6.0,12.537313432835822,22.333333333333332,9.0,154.8
Arshad Khan (2),5.0,4.0,0.0,1.0,1.0,125.0,0.0,12.0,2.0,1.0,0.25
Arshdeep Singh,29.0,40.0,0.0,11.0,4.0,72.5,76.0,9.026392961876832,227.33333333333334,65.0,1901.45
Ashutosh Sharma,189.0,113.0,15.0,9.0,10.0,167.2566371681416,0.0,0.0,0.0,0.0,9.450000000000001
Atharva Taide,247.0,168.0,8.0,9.0,27.0,147.02380952380955,0.0,24.0,0.16666666666666666,1.0,12.350000000000001
Avesh Khan,41.0,25.0,3.0,9.0,3.0,164.0,76.0,8.87191011235955,222.5,62.0,1902.05
Azhar Mahmood,388.0,303.0,13.0,21.0,39.0,128.05280528052805,29.0,7.82122905027933,89.5,23.0,744.4
Azmatullah Omarzai,42.0,33.0,2.0,4.0,2.0,127.27272727272727,4.0,8.857142857142858,21.0,7.0,102.1
B Akhil,76.0,55.0,5.0,11.0,5.0,138.1818181818182,6.0,7.723404255319149,31.333333333333332,13.0,153.8
B Chipli,280.0,251.0,7.0,21.0,28.0,111.55378486055776,0.0,20.0,1.0,1.0,14.0
B Geeves,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.375,8.0,2.0,25.0
B Indrajith,21.0,30.0,0.0,3.0,2.0,70.0,0.0,0.0,0.0,0.0,1.05
