PlayerName,SoldPrice,Role,TeamName,Nationality,BasePrice,CappedStatus,AuctionYear
Yusuf Pathan,19000000,All-Rounder,Sunrisers Hyderabad,Unknown,,Unknown,2018
Shreevats Goswami,10000000,Wicket Keeper,Sunrisers Hyderabad,Unknown,,Unknown,2018
Mohammad Nabi,10000000,All-Rounder,Sunrisers Hyderabad,Unknown,,Unknown,2018
Chris Jordan,10000000,All-Rounder,Sunrisers Hyderabad,Unknown,,Unknown,2018
Basil Thampi,9500000,Bowler,Sunrisers Hyderabad,Unknown,,Unknown,2018
Billy Stanlake,5000000,Batsman,Sunrisers Hyderabad,Unknown,,Unknown,2018
T Natarajan,4000000,Bowler,Sunrisers Hyderabad,Unknown,,Unknown,2018
Sachin Baby,2000000,Batsman,Sunrisers Hyderabad,Unknown,,Unknown,2018
Bipul Sharma,2000000,All-Rounder,Sunrisers Hyderabad,Unknown,,Unknown,2018
Syed Mehdi Hasan,2000000,All-Rounder,Sunrisers Hyderabad,Unknown,,Unknown,2018
Ricky Bhui,2000000,Batsman,Sunrisers Hyderabad,Unknown,,Unknown,2018
Tanmay Agarwal,2000000,Batsman,Sunrisers Hyderabad,Unknown,,Unknown,2018
Mohit Sharma,50000000,Bowler,Chennai Super Kings,Unknown,,Unknown,2019
Ruturaj Gaikwad,2000000,Batsman,Chennai Super Kings,Unknown,,Unknown,2019
Colin Ingram,64000000,Batsman,Delhi Capitals,Unknown,,Unknown,2019
Axar Rajesh Patel,50000000,All-Rounder,Delhi Capitals,Unknown,,Unknown,2019
Hanuma Vihari,20000000,Batsman,Delhi Capitals,Unknown,,Unknown,2019
Sherfane Rutherford,20000000,All-Rounder,Delhi Capitals,Unknown,,Unknown,2019
Ishant Sharma,11000000,Bowler,Delhi Capitals,Unknown,,Unknown,2019
Keemo Paul,5000000,All-Rounder,Delhi Capitals,Unknown,,Unknown,2019
Jalaj Saxena,2000000,All-Rounder,Delhi Capitals,Unknown,,Unknown,2019
Ankush Bains,2000000,Wicket Keeper,Delhi Capitals,Unknown,,Unknown,2019
Nathu Singh,2000000,Bowler,Delhi Capitals,Unknown,,Unknown,2019
Bandaru Ayyappa,2000000,Bowler,Delhi Capitals,Unknown,,Unknown,2019
Varun Chakaravarthy,84000000,All-Rounder,Punjab Kings,Unknown,,Unknown,2019
Sam Curran,72000000,All-Rounder,Punjab Kings,Unknown,,Unknown,2019
Mohammad Shami,48000000,Bowler,Punjab Kings,Unknown,,Unknown,2019
Prabhsimran Singh,48000000,Wicket Keeper,Punjab Kings,Unknown,,Unknown,2019
Nicolas Pooran,42000000,Wicket Keeper,Punjab Kings,Unknown,,Unknown,2019
Moises Henriques,10000000,All-Rounder,Punjab Kings,Unknown,,Unknown,2019
Hardus Viljoen,7500000,Bowler,Punjab Kings,Unknown,,Unknown,2019
Darshan Nalkande,3000000,All-Rounder,Punjab Kings,Unknown,,Unknown,2019
Sarfaraz Naushad Khan,2500000,All-Rounder,Punjab Kings,Unknown,,Unknown,2019
Arshdeep Singh,2000000,Bowler,Punjab Kings,Unknown,,Unknown,2019
Agnivesh Ayachi,2000000,All-Rounder,Punjab Kings,Unknown,,Unknown,2019
Harpreet Brar,2000000,All-Rounder,Punjab Kings,Unknown,,Unknown,2019
M. Ashwin,2000000,Bowler,Punjab Kings,Unknown,,Unknown,2019
Carlos Brathwaite,50000000,All-Rounder,Kolkata Knight Riders,Unknown,,Unknown,2019
Lockie Ferguson,16000000,Bowler,Kolkata Knight Riders,Unknown,,Unknown,2019
Joe Denly,10000000,Batsman,Kolkata Knight Riders,Unknown,,Unknown,2019
Harry Gurney,7500000,Bowler,Kolkata Knight Riders,Unknown,,Unknown,2019
Nikhil Shankar Naik,2000000,Wicket Keeper,Kolkata Knight Riders,Unknown,,Unknown,2019
Shrikant Mundhe,2000000,All-Rounder,Kolkata Knight Riders,Unknown,,Unknown,2019
Prithvi Raj Yarra,2000000,Bowler,Kolkata Knight Riders,Unknown,,Unknown,2019
Anrich Nortje,2000000,Bowler,Kolkata Knight Riders,Unknown,,Unknown,2019
Barinder Singh Sran,34000000,Bowler,Mumbai Indians,Unknown,,Unknown,2019
Lasith Malinga,20000000,Bowler,Mumbai Indians,Unknown,,Unknown,2019
Yuvraj Singh,10000000,All-Rounder,Mumbai Indians,Unknown,,Unknown,2019
Anmolpreet Singh,8000000,Batsman,Mumbai Indians,Unknown,,Unknown,2019
Pankaj Jaswal,2000000,All-Rounder,Mumbai Indians,Unknown,,Unknown,2019
Rasikh Dar,2000000,Bowler,Mumbai Indians,Unknown,,Unknown,2019
Jaydev Unadkat,84000000,Bowler,Rajasthan Royals,Unknown,,Unknown,2019
Varun Aaron,24000000,Bowler,Rajasthan Royals,Unknown,,Unknown,2019
Oshane Thomas,11000000,Bowler,Rajasthan Royals,Unknown,,Unknown,2019
Ashton Turner,5000000,All-Rounder,Rajasthan Royals,Unknown,,Unknown,2019
Liam Livingstone,5000000,All-Rounder,Rajasthan Royals,Unknown,,Unknown,2019
Shashank Singh,3000000,All-Rounder,Rajasthan Royals,Unknown,,Unknown,2019
Riyan Parag,2000000,All-Rounder,Rajasthan Royals,Unknown,,Unknown,2019
Manan Vohra,2000000,Batsman,Rajasthan Royals,Unknown,,Unknown,2019
Shubham Ranjane,2000000,All-Rounder,Rajasthan Royals,Unknown,,Unknown,2019
Shivam Dube,50000000,All-Rounder,Royal Challengers Bengaluru,Unknown,,Unknown,2019
Shimron Hetmyer,42000000,Batsman,Royal Challengers Bengaluru,Unknown,,Unknown,2019
Akshdeep Nath,36000000,All-Rounder,Royal Challengers Bengaluru,Unknown,,Unknown,2019
Prayas Ray Barman,15000000,All-Rounder,Royal Challengers Bengaluru,Unknown,,Unknown,2019
Himmat Singh,6500000,Batsman,Royal Challengers Bengaluru,Unknown,,Unknown,2019
Gurkeerat Singh Mann,5000000,All-Rounder,Royal Challengers Bengaluru,Unknown,,Unknown,2019
Heinrich Klaasen,5000000,Wicket Keeper,Royal Challengers Bengaluru,Unknown,,Unknown,2019
Devdutt Padikkal,2000000,Batsman,Royal Challengers Bengaluru,Unknown,,Unknown,2019
Milind Kumar,2000000,All-Rounder,Royal Challengers Bengaluru,Unknown,,Unknown,2019
Jonny Bairstow,22000000,Wicket Keeper,Sunrisers Hyderabad,Unknown,,Unknown,2019
Wriddhiman Saha,12000000,Wicket Keeper,Sunrisers Hyderabad,Unknown,,Unknown,2019
Martin Guptill,10000000,Batsman,Sunrisers Hyderabad,Unknown,,Unknown,2019
Piyush Chawla,67500000,Bowler,Chennai Super Kings,Unknown,,Unknown,2020
Sam Curran,55000000,All-Rounder,Chennai Super Kings,Unknown,,Unknown,2020
Josh Hazlewood,20000000,Bowler,Chennai Super Kings,Unknown,,Unknown,2020
R. Sai Kishore,2000000,Bowler,Chennai Super Kings,Unknown,,Unknown,2020
Shimron Hetmyer,77500000,Batsman,Delhi Capitals,Unknown,,Unknown,2020
Marcus Stoinis,48000000,All-Rounder,Delhi Capitals,Unknown,,Unknown,2020
Alex Carey,24000000,Wicket Keeper,Delhi Capitals,Unknown,,Unknown,2020
Jason Roy,15000000,Batsman,Delhi Capitals,Unknown,,Unknown,2020
Chris Woakes,15000000,All-Rounder,Delhi Capitals,Unknown,,Unknown,2020
Mohit Sharma,5000000,Bowler,Delhi Capitals,Unknown,,Unknown,2020
Tushar Deshpande,2000000,Bowler,Delhi Capitals,Unknown,,Unknown,2020
Lalit Yadav,2000000,All-Rounder,Delhi Capitals,Unknown,,Unknown,2020
Glenn Maxwell,107500000,All-Rounder,Punjab Kings,Unknown,,Unknown,2020
Sheldon Cottrell,85000000,Bowler,Punjab Kings,Unknown,,Unknown,2020
Chris Jordan,30000000,All-Rounder,Punjab Kings,Unknown,,Unknown,2020
Ravi Bishnoi,20000000,Bowler,Punjab Kings,Unknown,,Unknown,2020
Prabhsimran Singh,5500000,Wicket Keeper,Punjab Kings,Unknown,,Unknown,2020
Deepak Hooda,5000000,All-Rounder,Punjab Kings,Unknown,,Unknown,2020
James Neesham,5000000,All-Rounder,Punjab Kings,Unknown,,Unknown,2020
Tajinder Dhillon,2000000,All-Rounder,Punjab Kings,Unknown,,Unknown,2020
Ishan Porel,2000000,Bowler,Punjab Kings,Unknown,,Unknown,2020
Pat Cummins,155000000,All-Rounder,Kolkata Knight Riders,Unknown,,Unknown,2020
Eoin Morgan,52500000,Batsman,Kolkata Knight Riders,Unknown,,Unknown,2020
Varun Chakaravarthy,40000000,All-Rounder,Kolkata Knight Riders,Unknown,,Unknown,2020
Tom Banton,10000000,Batsman,Kolkata Knight Riders,Unknown,,Unknown,2020
Rahul Tripathi,6000000,Batsman,Kolkata Knight Riders,Unknown,,Unknown,2020
Chris Green,2000000,All-Rounder,Kolkata Knight Riders,Unknown,,Unknown,2020
Nikhil Shankar Naik,2000000,Wicket Keeper,Kolkata Knight Riders,Unknown,,Unknown,2020
Pravin Tambe,2000000,Bowler,Kolkata Knight Riders,Unknown,,Unknown,2020
M Siddharth,2000000,Bowler,Kolkata Knight Riders,Unknown,,Unknown,2020
Nathan Coulter-Nile,80000000,Bowler,Mumbai Indians,Unknown,,Unknown,2020
Chris Lynn,20000000,Batsman,Mumbai Indians,Unknown,,Unknown,2020
Saurabh Tiwary,5000000,Batsman,Mumbai Indians,Unknown,,Unknown,2020
Digvijay Deshmukh,2000000,All-Rounder,Mumbai Indians,Unknown,,Unknown,2020
Prince Balwant Rai Singh,2000000,All-Rounder,Mumbai Indians,Unknown,,Unknown,2020
Mohsin Khan,2000000,Bowler,Mumbai Indians,Unknown,,Unknown,2020
Robin Uthappa,30000000,Batsman,Rajasthan Royals,Unknown,,Unknown,2020
Jaydev Unadkat,30000000,Bowler,Rajasthan Royals,Unknown,,Unknown,2020
Yashasvi Jaiswal,24000000,All-Rounder,Rajasthan Royals,Unknown,,Unknown,2020
Kartik Tyagi,13000000,Bowler,Rajasthan Royals,Unknown,,Unknown,2020
Tom Curran,10000000,All-Rounder,Rajasthan Royals,Unknown,,Unknown,2020
Andrew Tye,10000000,Bowler,Rajasthan Royals,Unknown,,Unknown,2020
Anuj Rawat,8000000,Wicket Keeper,Rajasthan Royals,Unknown,,Unknown,2020
David Miller,7500000,Batsman,Rajasthan Royals,Unknown,,Unknown,2020
Oshane Thomas,5000000,Bowler,Rajasthan Royals,Unknown,,Unknown,2020
Anirudha Ashok Joshi,2000000,All-Rounder,Rajasthan Royals,Unknown,,Unknown,2020
Akash Singh,2000000,Bowler,Rajasthan Royals,Unknown,,Unknown,2020
Christopher Morris,100000000,All-Rounder,Royal Challengers Bengaluru,Unknown,,Unknown,2020
Aaron Finch,44000000,Batsman,Royal Challengers Bengaluru,Unknown,,Unknown,2020
Kane Richardson,40000000,Bowler,Royal Challengers Bengaluru,Unknown,,Unknown,2020
Dale Steyn,20000000,Bowler,Royal Challengers Bengaluru,Unknown,,Unknown,2020
Isuru Udana,5000000,All-Rounder,Royal Challengers Bengaluru,Unknown,,Unknown,2020
Shahbaz Ahamad,2000000,Wicket Keeper,Royal Challengers Bengaluru,Unknown,,Unknown,2020
Joshua Philippe,2000000,Wicket Keeper,Royal Challengers Bengaluru,Unknown,,Unknown,2020
Pavan Deshpande,2000000,All-Rounder,Royal Challengers Bengaluru,Unknown,,Unknown,2020
Mitchell Marsh,20000000,All-Rounder,Sunrisers Hyderabad,Unknown,,Unknown,2020
Priyam Garg,19000000,Batsman,Sunrisers Hyderabad,Unknown,,Unknown,2020
Virat Singh,19000000,Batsman,Sunrisers Hyderabad,Unknown,,Unknown,2020
Fabian Allen,5000000,All-Rounder,Sunrisers Hyderabad,Unknown,,Unknown,2020
Sandeep Bavanaka,2000000,All-Rounder,Sunrisers Hyderabad,Unknown,,Unknown,2020
Sanjay Yadav,2000000,All-Rounder,Sunrisers Hyderabad,Unknown,,Unknown,2020
Abdul Samad,2000000,All-Rounder,Sunrisers Hyderabad,Unknown,,Unknown,2020
Krishnappa Gowtham,92500000,All-Rounder,Chennai Super Kings,Unknown,,Unknown,2021
Moeen Ali,70000000,All-Rounder,Chennai Super Kings,Unknown,,Unknown,2021
Cheteshwar Pujara,5000000,Batsman,Chennai Super Kings,Unknown,,Unknown,2021
K.Bhagath Varma,2000000,All-Rounder,Chennai Super Kings,Unknown,,Unknown,2021
C Hari Nishaanth,2000000,Batsman,Chennai Super Kings,Unknown,,Unknown,2021
M. Harisankar Reddy,2000000,Bowler,Chennai Super Kings,Unknown,,Unknown,2021
Tom Curran,52500000,All-Rounder,Delhi Capitals,Unknown,,Unknown,2021
Steven Smith,22000000,Batsman,Delhi Capitals,Unknown,,Unknown,2021
Sam Billings,20000000,Wicket Keeper,Delhi Capitals,Unknown,,Unknown,2021
Umesh Yadav,10000000,Bowler,Delhi Capitals,Unknown,,Unknown,2021
Ripal Patel,2000000,All-Rounder,Delhi Capitals,Unknown,,Unknown,2021
Vishnu Vinod,2000000,Wicket Keeper,Delhi Capitals,Unknown,,Unknown,2021
Lukman Hussain Meriwala,2000000,Bowler,Delhi Capitals,Unknown,,Unknown,2021
M Siddharth,2000000,Bowler,Delhi Capitals,Unknown,,Unknown,2021
Shakib Al Hasan,32000000,All-Rounder,Kolkata Knight Riders,Unknown,,Unknown,2021
Harbhajan Singh,20000000,Bowler,Kolkata Knight Riders,Unknown,,Unknown,2021
Ben Cutting,7500000,All-Rounder,Kolkata Knight Riders,Unknown,,Unknown,2021
Karun Nair,5000000,Batsman,Kolkata Knight Riders,Unknown,,Unknown,2021
Pawan Negi,5000000,All-Rounder,Kolkata Knight Riders,Unknown,,Unknown,2021
Venkatesh Iyer,2000000,All-Rounder,Kolkata Knight Riders,Unknown,,Unknown,2021
Sheldon Jackson,2000000,Wicket Keeper,Kolkata Knight Riders,Unknown,,Unknown,2021
Vaibhav Arora,2000000,Bowler,Kolkata Knight Riders,Unknown,,Unknown,2021
Nathan Coulter-Nile,50000000,Bowler,Mumbai Indians,Unknown,,Unknown,2021
Adam Milne,32000000,Bowler,Mumbai Indians,Unknown,,Unknown,2021
Piyush Chawla,24000000,Bowler,Mumbai Indians,Unknown,,Unknown,2021
James Neesham,5000000,All-Rounder,Mumbai Indians,Unknown,,Unknown,2021
Yudhvir Charak,2000000,All-Rounder,Mumbai Indians,Unknown,,Unknown,2021
Marco Jansen,2000000,All-Rounder,Mumbai Indians,Unknown,,Unknown,2021
Arjun Tendulkar,2000000,All-Rounder,Mumbai Indians,Unknown,,Unknown,2021
Jhye Richardson,140000000,Bowler,Punjab Kings,Unknown,,Unknown,2021
Riley Meredith,80000000,Bowler,Punjab Kings,Unknown,,Unknown,2021
Shahrukh Khan,52500000,All-Rounder,Punjab Kings,Unknown,,Unknown,2021
Moises Henriques,42000000,All-Rounder,Punjab Kings,Unknown,,Unknown,2021
Dawid Malan,15000000,All-Rounder,Punjab Kings,Unknown,,Unknown,2021
Fabian Allen,7500000,All-Rounder,Punjab Kings,Unknown,,Unknown,2021
Jalaj Saxena,3000000,All-Rounder,Punjab Kings,Unknown,,Unknown,2021
Saurabh Kumar,2000000,All-Rounder,Punjab Kings,Unknown,,Unknown,2021
Utkarsh Singh,2000000,All-Rounder,Punjab Kings,Unknown,,Unknown,2021
Christopher Morris,162500000,All-Rounder,Rajasthan Royals,Unknown,,Unknown,2021
Shivam Dube,44000000,All-Rounder,Rajasthan Royals,Unknown,,Unknown,2021
Chetan Sakariya,12000000,Bowler,Rajasthan Royals,Unknown,,Unknown,2021
Mustafizur Rahman,10000000,Bowler,Rajasthan Royals,Unknown,,Unknown,2021
Liam Livingstone,7500000,All-Rounder,Rajasthan Royals,Unknown,,Unknown,2021
K.C Cariappa,2000000,Bowler,Rajasthan Royals,Unknown,,Unknown,2021
Akash Singh,2000000,Bowler,Rajasthan Royals,Unknown,,Unknown,2021
Kuldip Yadav,2000000,Bowler,Rajasthan Royals,Unknown,,Unknown,2021
Kyle Jamieson,150000000,All-Rounder,Royal Challengers Bengaluru,Unknown,,Unknown,2021
Glenn Maxwell,142500000,All-Rounder,Royal Challengers Bengaluru,Unknown,,Unknown,2021
Dan Christian,48000000,All-Rounder,Royal Challengers Bengaluru,Unknown,,Unknown,2021
Sachin Baby,2000000,Batsman,Royal Challengers Bengaluru,Unknown,,Unknown,2021
Rajat Patidar,2000000,Batsman,Royal Challengers Bengaluru,Unknown,,Unknown,2021
Mohammed Azharudeen,2000000,Wicket Keeper,Royal Challengers Bengaluru,Unknown,,Unknown,2021
Suyash Prabhudesai,2000000,All-Rounder,Royal Challengers Bengaluru,Unknown,,Unknown,2021
Kona Srikar Bharat,2000000,Wicket Keeper,Royal Challengers Bengaluru,Unknown,,Unknown,2021
Kedar Jadhav,20000000,All-Rounder,Sunrisers Hyderabad,Unknown,,Unknown,2021
Mujeeb Zadran,15000000,Bowler,Sunrisers Hyderabad,Unknown,,Unknown,2021
J Suchith,3000000,Bowler,Sunrisers Hyderabad,Unknown,,Unknown,2021
Robin Uthappa,20000000,Batsman,Chennai Super Kings,Indian,,Unknown,2022
Dwayne Bravo,44000000,All-Rounder,Chennai Super Kings,Overseas,,Unknown,2022
Ambati Rayudu,67500000,Wicket Keeper,Chennai Super Kings,Indian,,Unknown,2022
Deepak Chahar,140000000,Bowler,Chennai Super Kings,Indian,,Unknown,2022
C.Hari Nishaanth,2000000,Batsman,Chennai Super Kings,Indian,,Unknown,2022
N. Jagadeesan,2000000,Wicket Keeper,Chennai Super Kings,Indian,,Unknown,2022
K.M. Asif,2000000,Bowler,Chennai Super Kings,Indian,,Unknown,2022
Tushar Deshpande,2000000,Bowler,Chennai Super Kings,Indian,,Unknown,2022
Shivam Dube,40000000,All-Rounder,Chennai Super Kings,Indian,,Unknown,2022
Chris Jordan,36000000,All-Rounder,Chennai Super Kings,Overseas,,Unknown,2022
Maheesh Theekshana,7000000,Bowler,Chennai Super Kings,Overseas,,Unknown,2022
Rajvardhan Hangargekar,15000000,All-Rounder,Chennai Super Kings,Indian,,Unknown,2022
Simarjeet Singh,2000000,Bowler,Chennai Super Kings,Indian,,Unknown,2022
Devon Conway,10000000,Batsman,Chennai Super Kings,Overseas,,Unknown,2022
Dwaine Pretorius,5000000,All-Rounder,Chennai Super Kings,Overseas,,Unknown,2022
Mitchell Santner,19000000,All-Rounder,Chennai Super Kings,Overseas,,Unknown,2022
Adam Milne,19000000,Bowler,Chennai Super Kings,Overseas,,Unknown,2022
Subhranshu Senapati,2000000,Batsman,Chennai Super Kings,Indian,,Unknown,2022
Mukesh Choudhary,2000000,Bowler,Chennai Super Kings,Indian,,Unknown,2022
Prashant Solanki,12000000,Bowler,Chennai Super Kings,Indian,,Unknown,2022
K.Bhagath Varma,2000000,All-Rounder,Chennai Super Kings,Indian,,Unknown,2022
David Warner,62500000,Batsman,Delhi Capitals,Overseas,,Unknown,2022
Mitchell Marsh,65000000,All-Rounder,Delhi Capitals,Overseas,,Unknown,2022
Mustafizur Rahman,20000000,Bowler,Delhi Capitals,Overseas,,Unknown,2022
Shardul Thakur,107500000,Bowler,Delhi Capitals,Indian,,Unknown,2022
Kuldeep Yadav,20000000,Bowler,Delhi Capitals,Indian,,Unknown,2022
Ashwin Hebbar,2000000,Batsman,Delhi Capitals,Indian,,Unknown,2022
Sarfaraz Khan,2000000,All-Rounder,Delhi Capitals,Indian,,Unknown,2022
Kamlesh Nagarkoti,11000000,All-Rounder,Delhi Capitals,Indian,,Unknown,2022
K.S. Bharat,20000000,Wicket Keeper,Delhi Capitals,Indian,,Unknown,2022
Mandeep Singh,11000000,Batsman,Delhi Capitals,Indian,,Unknown,2022
Syed Khaleel Ahmed,52500000,Bowler,Delhi Capitals,Indian,,Unknown,2022
Lungisani Ngidi,5000000,Bowler,Delhi Capitals,Overseas,,Unknown,2022
Chetan Sakariya,42000000,Bowler,Delhi Capitals,Indian,,Unknown,2022
Yash Dhull,5000000,All-Rounder,Delhi Capitals,Indian,,Unknown,2022
Vicky Ostwal,2000000,All-Rounder,Delhi Capitals,Indian,,Unknown,2022
Ripal Patel,2000000,All-Rounder,Delhi Capitals,Indian,,Unknown,2022
Lalit Yadav,6500000,All-Rounder,Delhi Capitals,Indian,,Unknown,2022
Rovman Powell,28000000,Batsman,Delhi Capitals,Overseas,,Unknown,2022
Tim Seifert,5000000,Wicket Keeper,Delhi Capitals,Overseas,,Unknown,2022
Pravin Dubey,5000000,All-Rounder,Delhi Capitals,Indian,,Unknown,2022
Mohammad Shami,62500000,Bowler,Gujarat Titans,Indian,,Unknown,2022
David Miller,30000000,Batsman,Gujarat Titans,Overseas,,Unknown,2022
Jason Roy,20000000,Batsman,Gujarat Titans,Overseas,,Unknown,2022
Wriddhiman  Saha,19000000,Wicket Keeper,Gujarat Titans,Indian,,Unknown,2022
Matthew Wade,24000000,Wicket Keeper,Gujarat Titans,Overseas,,Unknown,2022
Lockie Ferguson,100000000,Bowler,Gujarat Titans,Overseas,,Unknown,2022
Abhinav Sadarangani,26000000,Batsman,Gujarat Titans,Indian,,Unknown,2022
Rahul Tewatia,90000000,All-Rounder,Gujarat Titans,Indian,,Unknown,2022
Noor  Ahmad,3000000,Bowler,Gujarat Titans,Overseas,,Unknown,2022
R. Sai Kishore,30000000,Bowler,Gujarat Titans,Indian,,Unknown,2022
Dominic Drakes,11000000,All-Rounder,Gujarat Titans,Overseas,,Unknown,2022
Vijay Shankar,14000000,All-Rounder,Gujarat Titans,Indian,,Unknown,2022
Jayant Yadav,17000000,All-Rounder,Gujarat Titans,Indian,,Unknown,2022
Darshan Nalkande,2000000,All-Rounder,Gujarat Titans,Indian,,Unknown,2022
Yash  Dayal,32000000,Bowler,Gujarat Titans,Indian,,Unknown,2022
B. Sai Sudharsan,2000000,All-Rounder,Gujarat Titans,Indian,,Unknown,2022
Gurkeerat Singh,5000000,All-Rounder,Gujarat Titans,Indian,,Unknown,2022
Alzarri Joseph,24000000,Bowler,Gujarat Titans,Overseas,,Unknown,2022
Varun Aaron,5000000,Bowler,Gujarat Titans,Indian,,Unknown,2022
Pradeep Sangwan,2000000,All-Rounder,Gujarat Titans,Indian,,Unknown,2022
Pat Cummins,72500000,All-Rounder,Kolkata Knight Riders,Overseas,,Unknown,2022
Shreyas Iyer,122500000,Batsman,Kolkata Knight Riders,Indian,,Unknown,2022
Mohammad  Nabi,10000000,All-Rounder,Kolkata Knight Riders,Overseas,,Unknown,2022
Nitish Rana,80000000,All-Rounder,Kolkata Knight Riders,Indian,,Unknown,2022
Sam Billings,20000000,Wicket Keeper,Kolkata Knight Riders,Overseas,,Unknown,2022
Umesh Yadav,20000000,Bowler,Kolkata Knight Riders,Indian,,Unknown,2022
Shivam  Mavi,72500000,All-Rounder,Kolkata Knight Riders,Indian,,Unknown,2022
Sheldon Jackson,6000000,Wicket Keeper,Kolkata Knight Riders,Indian,,Unknown,2022
Ajinkya Rahane,10000000,Batsman,Kolkata Knight Riders,Indian,,Unknown,2022
Rinku Singh,5500000,Batsman,Kolkata Knight Riders,Indian,,Unknown,2022
Anukul Roy,2000000,All-Rounder,Kolkata Knight Riders,Indian,,Unknown,2022
Alex Hales,15000000,Batsman,Kolkata Knight Riders,Overseas,,Unknown,2022
Rasikh Dar,2000000,Bowler,Kolkata Knight Riders,Indian,,Unknown,2022
Tim Southee,15000000,Bowler,Kolkata Knight Riders,Overseas,,Unknown,2022
Baba Indrajith,2000000,Wicket Keeper,Kolkata Knight Riders,Indian,,Unknown,2022
Chamika Karunaratne,5000000,All-Rounder,Kolkata Knight Riders,Overseas,,Unknown,2022
Abhijeet Tomar,4000000,Batsman,Kolkata Knight Riders,Indian,,Unknown,2022
Aman Khan,2000000,All-Rounder,Kolkata Knight Riders,Indian,,Unknown,2022
Ramesh Kumar,2000000,Batsman,Kolkata Knight Riders,Indian,,Unknown,2022
Pratham Singh,2000000,Batsman,Kolkata Knight Riders,Indian,,Unknown,2022
Ashok Sharma,5500000,Bowler,Kolkata Knight Riders,Indian,,Unknown,2022
Quinton De Kock,67500000,Wicket Keeper,Lucknow Super Giants,Overseas,,Unknown,2022
Manish Pandey,46000000,Batsman,Lucknow Super Giants,Indian,,Unknown,2022
Krunal Pandya,82500000,All-Rounder,Lucknow Super Giants,Indian,,Unknown,2022
Mark Wood,75000000,Bowler,Lucknow Super Giants,Overseas,,Unknown,2022
Avesh Khan,100000000,Bowler,Lucknow Super Giants,Indian,,Unknown,2022
Ankit Singh Rajpoot,5000000,Bowler,Lucknow Super Giants,Indian,,Unknown,2022
K. Gowtham,9000000,All-Rounder,Lucknow Super Giants,Indian,,Unknown,2022
Dushmanta Chameera,20000000,Bowler,Lucknow Super Giants,Overseas,,Unknown,2022
Shahbaz Nadeem,5000000,Bowler,Lucknow Super Giants,Indian,,Unknown,2022
Manan Vohra,2000000,Batsman,Lucknow Super Giants,Indian,,Unknown,2022
Evin Lewis,20000000,Batsman,Lucknow Super Giants,Overseas,,Unknown,2022
Mohsin Khan,2000000,Bowler,Lucknow Super Giants,Indian,,Unknown,2022
Mayank Yadav,2000000,Bowler,Lucknow Super Giants,Indian,,Unknown,2022
Ayush Badoni,2000000,All-Rounder,Lucknow Super Giants,Indian,,Unknown,2022
Kyle Mayers,5000000,All-Rounder,Lucknow Super Giants,Overseas,,Unknown,2022
Karan Sharma,2000000,All-Rounder,Lucknow Super Giants,Indian,,Unknown,2022
Jason Holder,87500000,All-Rounder,Lucknow Super Giants,Overseas,,Unknown,2022
Deepak Hooda,57500000,All-Rounder,Lucknow Super Giants,Indian,,Unknown,2022
Ishan Kishan,152500000,Wicket Keeper,Mumbai Indians,Indian,,Unknown,2022
Dewald Brevis,30000000,Batsman,Mumbai Indians,Overseas,,Unknown,2022
Anmolpreet Singh,2000000,Batsman,Mumbai Indians,Indian,,Unknown,2022
Basil Thampi,3000000,Bowler,Mumbai Indians,Indian,,Unknown,2022
Murugan Ashwin,16000000,Bowler,Mumbai Indians,Indian,,Unknown,2022
Jaydev Unadkat,13000000,Bowler,Mumbai Indians,Indian,,Unknown,2022
Mayank Markande,6500000,Bowler,Mumbai Indians,Indian,,Unknown,2022
N. Tilak Varma,17000000,All-Rounder,Mumbai Indians,Indian,,Unknown,2022
Sanjay Yadav,5000000,All-Rounder,Mumbai Indians,Indian,,Unknown,2022
Jofra Archer,80000000,All-Rounder,Mumbai Indians,Overseas,,Unknown,2022
Daniel Sams,26000000,All-Rounder,Mumbai Indians,Overseas,,Unknown,2022
Tymal Mills,15000000,Bowler,Mumbai Indians,Overseas,,Unknown,2022
Tim David,82500000,All-Rounder,Mumbai Indians,Overseas,,Unknown,2022
Ramandeep  Singh,2000000,All-Rounder,Mumbai Indians,Indian,,Unknown,2022
Aryan Juyal,2000000,Wicket Keeper,Mumbai Indians,Indian,,Unknown,2022
Fabian Allen,7500000,All-Rounder,Mumbai Indians,Overseas,,Unknown,2022
Riley Meredith,10000000,Bowler,Mumbai Indians,Overseas,,Unknown,2022
Rahul Buddhi,2000000,Batsman,Mumbai Indians,Indian,,Unknown,2022
Hrithik Shokeen,2000000,All-Rounder,Mumbai Indians,Indian,,Unknown,2022
Mohd. Arshad Khan,2000000,All-Rounder,Mumbai Indians,Indian,,Unknown,2022
Arjun  Tendulkar,3000000,All-Rounder,Mumbai Indians,Indian,,Unknown,2022
Shikhar Dhawan,82500000,Batsman,Punjab Kings,Indian,,Unknown,2022
Kagiso Rabada,92500000,Bowler,Punjab Kings,Overseas,,Unknown,2022
Jonny Bairstow,67500000,Wicket Keeper,Punjab Kings,Overseas,,Unknown,2022
Rahul Chahar,52500000,Bowler,Punjab Kings,Indian,,Unknown,2022
Harpreet  Brar,38000000,All-Rounder,Punjab Kings,Indian,,Unknown,2022
Shahrukh Khan,90000000,All-Rounder,Punjab Kings,Indian,,Unknown,2022
