PlayerName,SoldPrice,Role,TeamName,Nationality,BasePrice,CappedStatus,AuctionYear,LastName_x,Runs,BallsFaced,Sixes,Matches_Batting,Fours,StrikeRate,Wickets,Economy,Overs,Matches_Bowling,PerformanceScore,LastName_y
Mukesh Choudhary,3000000,Unknown,Chennai Super Kings,Indian,3000000.0,Uncapped,2025,choudhary,6.0,6.0,0.0,2.0,1.0,100.0,16.0,9.698924731182796,46.5,14.0,400.3,choudhary
KL Rahul,140000000,Unknown,Delhi Capitals,Indian,20000000.0,Capped,2025,rahul,4689.0,3485.0,187.0,122.0,400.0,134.54806312769009,0.0,0.0,0.0,0.0,234.45000000000002,rahul
Mukesh Kumar,80000000,Unknown,Delhi Capitals,Overseas,20000000.0,Capped,2025,kumar,10.0,18.0,0.0,5.0,0.0,55.55555555555556,25.0,10.436090225563909,66.5,20.0,625.5,kumar
Ashutosh Sharma,38000000,Unknown,Delhi Capitals,Indian,3000000.0,Uncapped,2025,sharma,189.0,113.0,15.0,9.0,10.0,167.2566371681416,0.0,0.0,0.0,0.0,9.450000000000001,sharma
Sameer Rizvi,9500000,Unknown,Delhi Capitals,Indian,3000000.0,Uncapped,2025,rizvi,51.0,43.0,2.0,5.0,4.0,118.6046511627907,0.0,0.0,0.0,0.0,2.5500000000000003,rizvi
Washington Sundar,32000000,Unknown,Gujarat Titans,Indian,20000000.0,Capped,2025,sundar,378.0,325.0,9.0,38.0,32.0,116.3076923076923,37.0,7.5426944971537,175.66666666666666,58.0,943.9,sundar
Kumar Kushagra,6500000,Unknown,Gujarat Titans,Indian,3000000.0,Uncapped,2025,kushagra,3.0,7.0,0.0,3.0,0.0,42.857142857142854,0.0,0.0,0.0,0.0,0.15000000000000002,kushagra
Anuj Rawat,3000000,Unknown,Gujarat Titans,Indian,3000000.0,Uncapped,2025,rawat,318.0,267.0,14.0,21.0,26.0,119.10112359550563,0.0,0.0,0.0,0.0,15.9,rawat
Rahmanullah Gurbaz,20000000,Unknown,Kolkata Knight Riders,Overseas,20000000.0,Capped,2025,gurbaz,289.0,216.0,19.0,13.0,24.0,133.7962962962963,0.0,0.0,0.0,0.0,14.450000000000001,gurbaz
Avesh Khan,97500000,Unknown,Lucknow Super Giants,Indian,20000000.0,Capped,2025,khan,41.0,25.0,3.0,9.0,3.0,164.0,76.0,8.87191011235955,222.5,62.0,1902.05,khan
Akash Deep,80000000,Unknown,Lucknow Super Giants,Indian,10000000.0,Capped,2025,deep,19.0,12.0,1.0,3.0,2.0,158.33333333333331,7.0,11.670731707317074,27.333333333333332,8.0,175.95,deep
Abdul Samad,42000000,Unknown,Lucknow Super Giants,Indian,3000000.0,Uncapped,2025,samad,579.0,397.0,36.0,39.0,37.0,145.84382871536522,2.0,12.555555555555555,9.0,5.0,78.95,samad
Akash Singh,3000000,Unknown,Lucknow Super Giants,Indian,3000000.0,Uncapped,2025,singh,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.869565217391305,23.0,7.0,125.0,singh
Naman Dhir,52500000,Unknown,Mumbai Indians,Overseas,3000000.0,Uncapped,2025,dhir,140.0,79.0,10.0,7.0,12.0,177.2151898734177,0.0,11.785714285714285,4.666666666666667,3.0,7.0,dhir
Arshdeep Singh,180000000,Unknown,Punjab Kings,Overseas,20000000.0,Capped,2025,singh,29.0,40.0,0.0,11.0,4.0,72.5,76.0,9.026392961876832,227.33333333333334,65.0,1901.45,singh
Azmatullah Omarzai,24000000,Unknown,Punjab Kings,Overseas,15000000.0,Capped,2025,omarzai,42.0,33.0,2.0,4.0,2.0,127.27272727272727,4.0,8.857142857142858,21.0,7.0,102.1,omarzai
Yash Thakur,16000000,Unknown,Punjab Kings,Indian,3000000.0,Uncapped,2025,thakur,0.0,0.0,0.0,0.0,0.0,0.0,24.0,10.262376237623764,67.33333333333333,19.0,600.0,thakur
Vishnu Vinod,9500000,Unknown,Punjab Kings,Indian,3000000.0,Uncapped,2025,vinod,56.0,57.0,3.0,6.0,3.0,98.24561403508771,0.0,0.0,0.0,0.0,2.8000000000000003,vinod
Fazalhaq Farooqi,20000000,Unknown,Rajasthan Royals,Overseas,20000000.0,Capped,2025,farooqi,3.0,13.0,0.0,2.0,0.0,23.076923076923077,6.0,8.960526315789474,25.333333333333332,7.0,150.15,farooqi
Akash Madhwal,12000000,Unknown,Rajasthan Royals,Indian,3000000.0,Uncapped,2025,madhwal,4.0,5.0,0.0,1.0,0.0,80.0,20.0,9.709923664122138,43.666666666666664,13.0,500.2,madhwal
Suyash Sharma,26000000,Unknown,Royal Challengers Bengaluru,Indian,3000000.0,Uncapped,2025,sharma,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.651162790697674,43.0,13.0,250.0,sharma
Swapnil Singh,5000000,Unknown,Royal Challengers Bengaluru,Overseas,3000000.0,Uncapped,2025,singh,51.0,45.0,3.0,9.0,3.0,113.33333333333333,7.0,8.925925925925926,27.0,14.0,177.55,singh
Mohit Rathee,3000000,Unknown,Royal Challengers Bengaluru,Indian,3000000.0,Uncapped,2025,rathee,1.0,2.0,0.0,1.0,0.0,50.0,0.0,14.5,2.0,1.0,0.05,rathee
Ishan Kishan,112500000,Unknown,Sunrisers Hyderabad,Indian,20000000.0,Capped,2025,kishan,2644.0,1946.0,119.0,99.0,255.0,135.86844809866392,0.0,0.0,0.0,0.0,132.20000000000002,kishan
Simarjeet Singh,15000000,Unknown,Sunrisers Hyderabad,Indian,3000000.0,Uncapped,2025,singh,7.0,8.0,0.0,3.0,0.0,87.5,9.0,8.633333333333333,30.0,10.0,225.35,singh
Sachin Baby,3000000,Unknown,Sunrisers Hyderabad,Indian,3000000.0,Uncapped,2025,baby,144.0,118.0,5.0,11.0,11.0,122.03389830508475,2.0,4.8,1.6666666666666667,2.0,57.2,baby
Atharva Taide,3000000,Unknown,Sunrisers Hyderabad,Indian,3000000.0,Uncapped,2025,taide,247.0,168.0,8.0,9.0,27.0,147.02380952380955,0.0,24.0,0.16666666666666666,1.0,12.350000000000001,taide
Mustafizur Rahman,92000000,Unknown,Kolkata Knight Riders,Overseas,20000000.0,Capped,2026,rahman,13.0,23.0,1.0,6.0,0.0,56.52173913043478,61.0,8.133949191685913,216.5,57.0,1525.65,rahman
Akash Deep,10000000,Unknown,Kolkata Knight Riders,Indian,10000000.0,Capped,2026,deep,19.0,12.0,1.0,3.0,2.0,158.33333333333331,7.0,11.670731707317074,27.333333333333332,8.0,175.95,deep
Kartik Tyagi,3000000,Unknown,Kolkata Knight Riders,Indian,3000000.0,Uncapped,2026,tyagi,13.0,16.0,0.0,6.0,1.0,81.25,15.0,10.13744075829384,70.33333333333333,20.0,375.65,tyagi
Ravi Bishnoi,72000000,Unknown,Rajasthan Royals,Indian,20000000.0,Capped,2026,bishnoi,32.0,50.0,0.0,14.0,2.0,64.0,63.0,7.807228915662651,235.16666666666666,65.0,1576.6,bishnoi
Shivam Mavi,7500000,Unknown,Sunrisers Hyderabad,Indian,7500000.0,Capped,2026,mavi,51.0,56.0,2.0,11.0,4.0,91.07142857142857,30.0,8.708782742681047,108.16666666666667,32.0,752.55,mavi
